ID,Credit_Score
0x2145,0
0x7d59,0
0xe753,1
0x19813,0
0x1dc5e,1
0xce26,2
0x14f6d,1
0x203f3,1
0xc17c,1
0x1bab8,0
0x3474,0
0x17db,1
0x24823,1
0x24a7a,0
0x23f58,1
0x21645,0
0xd937,0
0x1c57e,1
0x1cd55,1
0x961f,1
0x10d79,0
0xac7f,1
0x4171,2
0x6045,2
0xeff3,0
0x1be30,1
0x1fac3,1
0x1586f,2
0x11d2d,1
0x23a8d,0
0x1838d,1
0xe2d2,1
0x24a34,1
0x12f3d,1
0x1a082,0
0x1b63d,0
0x1bd44,1
0x18384,2
0xb6f0,2
0x23289,1
0x23cb,1
0xdf41,1
0x1cc69,1
0x13f27,0
0x109f7,1
0x1fb6a,0
0x21db7,0
0x84e1,1
0x257ad,0
0x1d98e,1
0x20abd,1
0x1d9ff,1
0x826f,1
0xbde2,0
0xe390,1
0x169c5,2
0x21707,0
0x15493,0
0x2d30,1
0x1d473,2
0x3dd5,0
0xc32b,1
0x18aea,0
0x1bfea,0
0x10b91,2
0x199aa,0
0xe297,2
0x62d7,1
0x22909,0
0x1cd64,0
0x1d5e0,0
0x23f78,2
0x1653c,1
0x1d4bb,1
0x3225,0
0x23c17,0
0x11c1d,0
0x12f66,1
0x1c9d3,2
0x6314,1
0xdd7c,1
0x1fe9b,2
0x10a58,0
0x11ca0,1
0x23daf,0
0x15354,0
0x1a2b1,2
0x12367,0
0xabc1,2
0x1acc2,2
0x5149,0
0x17eec,1
0x10cbb,1
0x1409b,1
0x22a17,0
0x10eec,1
0xdcb6,0
0x1b110,1
0xe9fc,0
0x116c3,1
0x32cb,1
0x1131d,1
0x19a71,0
0x100f7,0
0x204e3,2
0x840a,0
0xa50c,2
0x9614,1
0x169dd,0
0x13eae,1
0x1e17a,1
0x7791,0
0x13cce,2
0x53d6,1
0x37c2,0
0x1910a,0
0x1668,1
0x25508,0
0x10c2c,1
0x1f74c,0
0x584e,2
0x1471f,0
0x309c,0
0x12b85,1
0x10782,0
0x5376,1
0x24acf,1
0x13ad6,0
0xcacf,1
0x20647,2
0x1b6ca,1
0x13716,0
0xca51,0
0x91ba,0
0x1ea56,2
0x84ea,1
0x19ccf,1
0x12daf,1
0x1be4c,2
0xd3bd,1
0x51de,2
0x1e780,1
0x8bb6,0
0x1454a,1
0x2107f,1
0x15f1e,1
0xa35b,0
0x4640,1
0x10a5f,2
0xf228,1
0x13ca1,0
0x5f9f,1
0x22b7,0
0x2d24,1
0x25846,1
0x1be9b,0
0x4067,0
0x21471,2
0xfdaa,1
0x20635,2
0x12d1d,1
0x6f01,2
0x24a29,0
0x223e7,1
0x201ae,0
0x2589a,1
0x162eb,1
0xda32,0
0x128b2,0
0x156f7,2
0x1ed1a,1
0x1da51,2
0x2551f,2
0x17e99,1
0xd250,0
0x1b649,1
0x1f91b,0
0x6e0c,0
