ID,Credit_Score
0x2145,Standard
0x7d59,Poor
0xe753,Poor
0x19813,Good
0x1dc5e,Standard
0xce26,Poor
0x14f6d,Standard
0x203f3,Poor
0xc17c,Standard
0x1bab8,Poor
0x3474,Standard
0x17db,Standard
0x24823,Standard
0x24a7a,Standard
0x23f58,Standard
0x21645,Standard
0xd937,Poor
0x1c57e,Good
0x1cd55,Standard
0x961f,Standard
0x10d79,Good
0xac7f,Standard
0x4171,Standard
0x6045,Poor
0xeff3,Standard
0x1be30,Standard
0x1fac3,Standard
0x1586f,Standard
0x11d2d,Standard
0x23a8d,Good
0x1838d,Standard
0xe2d2,Poor
0x24a34,Good
0x12f3d,Poor
0x1a082,Standard
0x1b63d,Standard
0x1bd44,Poor
0x18384,Standard
0xb6f0,Standard
0x23289,Good
0x23cb,Poor
0xdf41,Standard
0x1cc69,Good
0x13f27,Standard
0x109f7,Standard
0x1fb6a,Standard
0x21db7,Poor
0x84e1,Good
0x257ad,Standard
0x1d98e,Standard
0x20abd,Standard
0x1d9ff,Poor
0x826f,Standard
0xbde2,Standard
0xe390,Standard
0x169c5,Standard
0x21707,Standard
0x15493,Poor
0x2d30,Standard
0x1d473,Standard
0x3dd5,Standard
0xc32b,Good
0x18aea,Poor
0x1bfea,Good
0x10b91,Standard
0x199aa,Standard
0xe297,Standard
0x62d7,Poor
0x22909,Standard
0x1cd64,Standard
0x1d5e0,Good
0x23f78,Standard
0x1653c,Standard
0x1d4bb,Standard
0x3225,Standard
0x23c17,Standard
0x11c1d,Standard
0x12f66,Poor
0x1c9d3,Poor
0x6314,Good
0xdd7c,Standard
0x1fe9b,Poor
0x10a58,Standard
0x11ca0,Standard
0x23daf,Standard
0x15354,Standard
0x1a2b1,Standard
0x12367,Poor
0xabc1,Standard
0x1acc2,Good
0x5149,Standard
0x17eec,Standard
0x10cbb,Standard
0x1409b,Poor
0x22a17,Good
0x10eec,Standard
0xdcb6,Standard
0x1b110,Good
0xe9fc,Standard
0x116c3,Standard
0x32cb,Standard
0x1131d,Standard
0x19a71,Good
0x100f7,Standard
0x204e3,Good
0x840a,Poor
0xa50c,Standard
0x9614,Poor
0x169dd,Standard
0x13eae,Poor
0x1e17a,Standard
0x7791,Standard
0x13cce,Standard
0x53d6,Standard
0x37c2,Standard
0x1910a,Standard
0x1668,Standard
0x25508,Good
0x10c2c,Poor
0x1f74c,Poor
0x584e,Standard
0x1471f,Poor
0x309c,Poor
0x12b85,Standard
0x10782,Poor
0x5376,Standard
0x24acf,Good
0x13ad6,Standard
0xcacf,Poor
0x20647,Good
0x1b6ca,Standard
0x13716,Standard
0xca51,Standard
0x91ba,Poor
0x1ea56,Standard
0x84ea,Poor
0x19ccf,Poor
0x12daf,Standard
0x1be4c,Standard
0xd3bd,Standard
0x51de,Poor
0x1e780,Standard
0x8bb6,Standard
0x1454a,Standard
0x2107f,Standard
0x15f1e,Standard
0xa35b,Good
0x4640,Good
0x10a5f,Standard
0xf228,Poor
0x13ca1,Standard
0x5f9f,Poor
0x22b7,Poor
0x2d24,Standard
0x25846,Standard
0x1be9b,Poor
0x4067,Poor
0x21471,Poor
0xfdaa,Standard
0x20635,Standard
0x12d1d,Standard
0x6f01,Poor
0x24a29,Poor
0x223e7,Good
0x201ae,Standard
0x2589a,Standard
0x162eb,Good
0xda32,Good
0x128b2,Poor
0x156f7,Poor
0x1ed1a,Poor
0x1da51,Standard
0x2551f,Good
0x17e99,Standard
0xd250,Standard
0x1b649,Poor
0x1f91b,Standard
0x6e0c,Poor
0x1e74b,Standard
0x13298,Standard
0x20fa1,Poor
0xa839,Standard
0x20cd8,Standard
0x1b28e,Standard
0x9091,Standard
0xdfcf,Standard
0x196ba,Good
0x329d,Standard
0xe7bc,Poor
0x2409d,Poor
0xd6a2,Standard
0x1703e,Poor
0x1434a,Standard
0xa2d6,Standard
0x168eb,Standard
0x51b4,Good
0x11c57,Standard
0x22a1,Good
0x1d769,Standard
0x7f93,Good
0x206fc,Poor
0x1eb7d,Poor
0x23858,Standard
0x924c,Standard
0xd4ac,Standard
0xa907,Standard
0x24690,Poor
0x1169c,Standard
0xb34d,Good
0x9622,Standard
0x25903,Standard
0x118c2,Poor
0x208f7,Good
0x221e9,Good
0x1081e,Standard
0x236fe,Poor
0x1f9e7,Good
0x138d3,Standard
0x24ecf,Standard
0x21204,Standard
0x1d80e,Standard
0x16f6,Standard
0x1ffac,Standard
0xc638,Poor
0xf769,Standard
0x1581d,Good
0x8e06,Good
0xd876,Standard
0x12e9c,Standard
0x21c5b,Standard
0xe4ba,Good
0x22844,Poor
0x12166,Standard
0x1ee78,Good
0x3dec,Good
0x1b75a,Standard
0x1bcb,Standard
0x22278,Poor
0x23b64,Standard
0x133ad,Standard
0x1ec38,Standard
0x1d364,Good
0xe8e7,Standard
0x260a,Standard
0x6a29,Poor
0x12c44,Poor
0x1ae11,Poor
0x69b0,Standard
0x22f4,Standard
0x12682,Poor
0x12703,Good
0x1635b,Standard
0x1dba0,Standard
0x23f77,Poor
0xb8d4,Standard
0x1cbeb,Standard
0x15344,Standard
0x21429,Standard
0x1c94f,Standard
0x24667,Standard
0x116a8,Standard
0x1b1f2,Poor
0xfb62,Standard
0x4ad0,Standard
0x9264,Good
0xf883,Good
0xd850,Standard
0x11f88,Standard
